TIME,Elapsed time since ignition                       ,s    
TCA_1,Temperature. remote bedroom. 20 mm from ceiling               ,C    
TCA_2,Temperature. remote bedroom. 300 mm from ceiling               ,C    
TCA_3,Temperature. remote bedroom. 610 mm from ceiling               ,C    
TCA_4,Temperature. remote bedroom. 900 mm from ceiling               ,C    
TCA_5,Temperature. remote bedroom. 1220 mm from ceiling               ,C    
TCA_6,Temperature. remote bedroom. 1520 mm from ceiling               ,C    
TCA_7,Temperature. remote bedroom. 1820 mm from ceiling               ,C    
TCB_1,Temperature. main bedroom. 20 mm from ceiling               ,C    
TCB_2,Temperature. main bedroom. 300 mm from ceiling               ,C    
TCB_3,Temperature. main bedroom. 610 mm from ceiling               ,C    
TCB_4,Temperature. main bedroom. 900 mm from ceiling               ,C    
TCB_5,Temperature. main bedroom. 1220 mm from ceiling               ,C    
TCB_6,Temperature. main bedroom. 1520 mm from ceiling               ,C    
TCB_7,Temperature. main bedroom. 1820 mm from ceiling               ,C    
TCC_1,Temperature. hallway outside remote bedroom. 20 mm from ceiling               ,C    
TCC_2,Temperature. hallway outside remote bedroom. 300 mm from ceiling               ,C    
TCC_3,Temperature. hallway outside remote bedroom. 610 mm from ceiling               ,C    
TCC_4,Temperature. hallway outside remote bedroom. 900 mm from ceiling               ,C    
TCC_5,Temperature. hallway outside remote bedroom. 1220 mm from ceiling               ,C    
TCC_6,Temperature. hallway outside remote bedroom. 1520 mm from ceiling               ,C    
TCC_7,Temperature. hallway outside remote bedroom. position B               ,C    
TCD_1,Temperature. hallway outside main bedroom. 20 mm from ceiling               ,C    
TCD_2,Temperature. hallway outside main bedroom. 300 mm from ceiling               ,C    
TCD_3,Temperature. hallway outside main bedroom. 610 mm from ceiling               ,C    
TCD_4,Temperature. hallway outside main bedroom. 900 mm from ceiling               ,C    
TCD_5,Temperature. hallway outside main bedroom. 1220 mm from ceiling               ,C    
TCD_6,Temperature. hallway outside main bedroom. 1520 mm from ceiling               ,C    
TCD_7,Temperature. hallway outside main bedroom. 1820 mm from ceiling               ,C    
TCE_1,Temperature. living room. 20 mm from ceiling               ,C    
TCE_2,Temperature. living room. 300 mm from ceiling               ,C    
